genre,style,title,artist
Rock,Punk,Deep Fantasy,White Lung
Rock,Post Rock,F♯ A♯ ∞,Godspeed You Black Emperor!
Rock,Indie Rock,Bloom,Beach House
Rock,Hardcore,Versus God,Dillinger Four
Electronic,Post Rock,'Allelujah! Don't Bend Ascend,Godspeed You! Black Emperor*
Rock,Punk,Bivouac,Jawbreaker
Rock,Lo-Fi,In The Aeroplane Over The Sea,Neutral Milk Hotel
Rock,Country,With His Hot And Blue Guitar,Johnny Cash
Rock,Punk,Turnstile Comix #2,"World / Inferno Friendship Society, The"
Rock,Punk,We Don't Stand A Chance,"Tigermilks, The"
Rock,Punk,The Beauty Between,RVIVR
Rock,Alternative Rock,Somewhere In The Between,Streetlight Manifesto
Rock,Country,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You",Neko Case
Rock,New Wave,Songs Of Praise,Poison Girls
Rock,Punk,Death Church,Rudimentary Peni
Rock,Punk,London Calling,"Clash, The"
Classical,Romantic,Berliner Philharmoniker · Herbert von Karajan,Beethoven*
Jazz,Bop,The Greatest Jazz Concert Ever,"Charlie Parker, Dizzy Gillespie, Bud Powell, Charles Mingus, Max Roach"
Classical,Romantic,Philippe Entremont / Leonard Bernstein,Rachmaninoff*
Classical,Neo-Romantic,Schumann Concerto In A Minor For 'Cello And Orchestra Op.129,"Pablo Casals, Prades Festival Orchestra / Schumann*"
Hip Hop,Conscious,Deltron 3030,Deltron 3030
Rock,Indie Rock,Here And Nowhere Else,Cloud Nothings
Rock,Post-Punk,Silence Yourself,Savages (2)
Rock,Punk,Chappaquiddick Bridge,Poison Girls
Rock,Alternative Rock,The Woods,Sleater-Kinney
Rock,Punk,Bikini Kill,Bikini Kill
Rock,Indie Rock,Turnstile Comix #3,Lemuria (3)
Rock,Punk,Never Mind The Bollocks Here's The Sex Pistols ,Sex Pistols
Rock,Punk,Say Yes To Love,Perfect Pussy
Rock,Hardcore,David Comes To Life,Fucked Up
Rock,Alternative Rock,Broken Bells,Broken Bells (2)
Rock,Lo-Fi,Call The Doctor,Sleater-Kinney
Rock,Shoegaze,Teen Dream,Beach House
Rock,Punk,Sleater-Kinney,Sleater-Kinney
Electronic,Synth-pop,Shrines,Purity Ring
Rock,Emo,24 Hour Revenge Therapy,Jawbreaker
Classical,Romantic,String Quartet No 14 In C Sharp Minor Opus 131,"Beethoven*, Fine Arts Quartet*"
Rock,African,Nomad,Bombino*
Rock,Indie Rock,Show Your Bones,Yeah Yeah Yeahs
Rock,Grunge,Metz,Metz
Rock,Garage Rock,Attack On Memory,Cloud Nothings
Rock,Punk,Archaic,Rudimentary Peni
Rock,Garage Rock,Celebration Rock,Japandroids
Hip Hop,RnB/Swing,The Electric Lady,Janelle Monáe
Rock,Punk,Sing Sing Death House,"Distillers, The"
Rock,Punk,The Feeding Of The 5000 (The Second Sitting),Crass
Rock,Alternative Rock,No Cities To Love,Sleater-Kinney
Rock,Punk,Repeater,Fugazi
Hip Hop,,My Beautiful Dark Twisted Fantasy,Kanye West
Rock,,20 Golden Greats,"Buddy Holly & Crickets, The (2)"
Rock,Psychedelic Rock,Sgt. Pepper's Lonely Hearts Club Band,"Beatles, The"
Rock,Indie Rock,One Beat,Sleater-Kinney
Electronic,Indie Pop,The Bones Of What You Believe,Chvrches
Rock,Punk,Cacophony,Rudimentary Peni
Electronic,Soundtrack,A Girl Walks Home Alone At Night,Various
Rock,Punk,Sorry,White Lung
